state,IM,record,ecu,Vult,Vbmax,ect,ecb,uindex,convergence
1,40,RSN126_GAZLI_GAZ000,-0.005012939,122.7871116,150.0404741,-0.002861631,-0.146517822,566,0
1,40,RSN126_GAZLI_GAZ000,-0.011487448,173.9109323,153.0518625,-0.00308823,-0.159392088,1108,0
1,40,RSN126_GAZLI_GAZ000,-0.004588327,129.3320101,150.0404741,-0.002305159,-0.156972388,568,0
1,40,RSN126_GAZLI_GAZ000,-0.00475934,208.9142527,150.0404741,-0.002277762,-0.157160289,947,0
1,40,RSN126_GAZLI_GAZ000,-0.002785076,163.1782135,150.0404741,-0.0970422,-0.11274623,943,0
1,40,RSN126_GAZLI_GAZ000,-0.005992165,155.0479705,150.0404741,-0.003019254,-0.14439235,950,0
1,40,RSN126_GAZLI_GAZ000,-0.00628199,232.3067834,150.0404741,-0.14419234,-0.126908217,950,0
1,40,RSN126_GAZLI_GAZ000,-0.009173622,197.9653764,153.1793903,-0.002420286,-0.129425644,1061,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.005141396,156.8863036,150.0404741,-0.002914064,-0.146504856,948,0
1,40,RSN126_GAZLI_GAZ000,-0.007555708,142.7546044,150.0404741,-0.003040681,-0.146655682,580,0
1,40,RSN126_GAZLI_GAZ000,-0.004926969,173.0261286,150.0404741,-0.002255286,-0.157302853,948,0
1,40,RSN126_GAZLI_GAZ000,-0.004887392,162.6270841,150.0404741,-0.001717186,-0.132876453,948,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.00623314,196.6030782,150.0404741,-0.144172086,-0.126846106,950,0
1,40,RSN126_GAZLI_GAZ000,-0.007523674,163.6122407,150.0404741,-0.150470626,-0.13039862,952,0
1,40,RSN126_GAZLI_GAZ000,-0.00410923,155.8940412,150.0404741,-0.002808611,-0.142546852,946,0
1,40,RSN126_GAZLI_GAZ000,-0.005486125,210.3708636,150.0404741,-0.002758466,-0.144627867,949,0
1,40,RSN126_GAZLI_GAZ000,-0.00339778,188.6902734,150.0404741,-0.09214973,-0.143095629,945,0
1,40,RSN126_GAZLI_GAZ000,-0.004772438,114.5691032,150.0404741,-0.001743735,-0.120051958,564,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.006462225,148.6906918,150.0404741,-0.00318082,-0.160766711,674,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.006059557,184.4870381,150.0404741,-0.003028971,-0.125303191,950,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.005460803,183.4778939,150.0404741,-0.002757803,-0.144623418,949,0
1,40,RSN126_GAZLI_GAZ000,-0.007059009,152.925569,150.0404741,-0.002186431,-0.118271681,950,FAILED
1,40,RSN126_GAZLI_GAZ000,-0.004979693,161.4123172,150.0404741,-0.002923091,-0.148855534,948,0
1,40,RSN126_GAZLI_GAZ000,-0.004655538,276.1254646,150.0404741,-0.002632444,-0.143269013,947,0
1,40,RSN126_GAZLI_GAZ000,-0.009228554,131.0375034,153.1804895,-0.002345549,-0.129452274,569,FAILED
