state,IM,record,ecu,Vult,Vbmax,ect,ecb,uindex,convergence,ecu_alpha,Vult_alpha,
1,40,RSN126_GAZLI_GAZ000,-0.003040074,114.4014823,150.0404741,-0.093270237,-0.113045302,488,0,-2,-2,
1,40,RSN126_GAZLI_GAZ000,-0.003813349,114.4014823,150.0404741,-0.002845736,-0.123332856,488,FAILED,-1.333333333,-2,
1,40,RSN126_GAZLI_GAZ000,-0.004783314,114.4014823,150.0404741,-0.00227203,-0.156836566,488,0,-0.666666667,-2,
1,40,RSN126_GAZLI_GAZ000,-0.006,114.4014823,150.0404741,-0.003016505,-0.143741657,488,0,0,-2,
1,40,RSN126_GAZLI_GAZ000,-0.007526163,114.4014823,150.0404741,-0.003177536,-0.145842393,488,0,0.666666667,-2,
1,40,RSN126_GAZLI_GAZ000,-0.00944052,114.4014823,153.3218271,-0.002361492,-0.129268023,488,FAILED,1.333333333,-2,
1,40,RSN126_GAZLI_GAZ000,-0.011841815,114.4014823,153.0518625,-0.003152219,-0.084686339,488,FAILED,2,-2,
1,40,RSN126_GAZLI_GAZ000,-0.003040074,130.5481559,150.0404741,-0.093270237,-0.113045302,569,0,-2,-1.333333333,
1,40,RSN126_GAZLI_GAZ000,-0.003813349,130.5481559,150.0404741,-0.002845736,-0.123332856,569,FAILED,-1.333333333,-1.333333333,
1,40,RSN126_GAZLI_GAZ000,-0.004783314,130.5481559,150.0404741,-0.00227203,-0.156836566,569,0,-0.666666667,-1.333333333,
1,40,RSN126_GAZLI_GAZ000,-0.006,130.5481559,150.0404741,-0.003016505,-0.143741657,569,0,0,-1.333333333,
1,40,RSN126_GAZLI_GAZ000,-0.007526163,130.5481559,150.0404741,-0.003177536,-0.145842393,569,0,0.666666667,-1.333333333,
1,40,RSN126_GAZLI_GAZ000,-0.00944052,130.5481559,153.3218271,-0.002361492,-0.129268023,569,FAILED,1.333333333,-1.333333333,
1,40,RSN126_GAZLI_GAZ000,-0.011841815,130.5481559,153.0518625,-0.003152219,-0.084686339,569,FAILED,2,-1.333333333,
1,40,RSN126_GAZLI_GAZ000,-0.003040074,148.9737779,150.0404741,-0.093270237,-0.113045302,675,0,-2,-0.666666667,
1,40,RSN126_GAZLI_GAZ000,-0.003813349,148.9737779,150.0404741,-0.002845736,-0.123332856,675,FAILED,-1.333333333,-0.666666667,
1,40,RSN126_GAZLI_GAZ000,-0.004783314,148.9737779,150.0404741,-0.00227203,-0.156836566,675,0,-0.666666667,-0.666666667,
1,40,RSN126_GAZLI_GAZ000,-0.006,148.9737779,150.0404741,-0.003016505,-0.143741657,675,0,0,-0.666666667,
1,40,RSN126_GAZLI_GAZ000,-0.007526163,148.9737779,150.0404741,-0.003177536,-0.145842393,675,0,0.666666667,-0.666666667,
1,40,RSN126_GAZLI_GAZ000,-0.00944052,148.9737779,153.3218271,-0.002361492,-0.129268023,675,FAILED,1.333333333,-0.666666667,
1,40,RSN126_GAZLI_GAZ000,-0.011841815,148.9737779,153.0518625,-0.003152219,-0.084686339,675,FAILED,2,-0.666666667,
1,40,RSN126_GAZLI_GAZ000,-0.003040074,170,150.0404741,-0.093270237,-0.113045302,944,0,-2,0,
1,40,RSN126_GAZLI_GAZ000,-0.003813349,170,150.0404741,-0.002845736,-0.123332856,946,FAILED,-1.333333333,0,
1,40,RSN126_GAZLI_GAZ000,-0.004783314,170,150.0404741,-0.00227203,-0.156836566,947,0,-0.666666667,0,
1,40,RSN126_GAZLI_GAZ000,-0.006,170,150.0404741,-0.003016505,-0.143741657,950,0,0,0,
1,40,RSN126_GAZLI_GAZ000,-0.007526163,170,150.0404741,-0.003177536,-0.145842393,951,0,0.666666667,0,
1,40,RSN126_GAZLI_GAZ000,-0.00944052,170,153.3218271,-0.002361492,-0.129268023,1063,FAILED,1.333333333,0,
1,40,RSN126_GAZLI_GAZ000,-0.011841815,170,153.0518625,-0.003152219,-0.084686339,1108,FAILED,2,0,
1,40,RSN126_GAZLI_GAZ000,-0.003040074,193.9938719,150.0404741,-0.093270237,-0.113045302,944,0,-2,0.666666667,
1,40,RSN126_GAZLI_GAZ000,-0.003813349,193.9938719,150.0404741,-0.002845736,-0.123332856,946,FAILED,-1.333333333,0.666666667,
1,40,RSN126_GAZLI_GAZ000,-0.004783314,193.9938719,150.0404741,-0.00227203,-0.156836566,947,0,-0.666666667,0.666666667,
1,40,RSN126_GAZLI_GAZ000,-0.006,193.9938719,150.0404741,-0.003016505,-0.143741657,950,0,0,0.666666667,
1,40,RSN126_GAZLI_GAZ000,-0.007526163,193.9938719,150.0404741,-0.003177536,-0.145842393,951,0,0.666666667,0.666666667,
1,40,RSN126_GAZLI_GAZ000,-0.00944052,193.9938719,153.3218271,-0.002361492,-0.129268023,1063,FAILED,1.333333333,0.666666667,
1,40,RSN126_GAZLI_GAZ000,-0.011841815,193.9938719,153.0518625,-0.003152219,-0.084686339,1108,FAILED,2,0.666666667,
1,40,RSN126_GAZLI_GAZ000,-0.003040074,221.3742491,150.0404741,-0.093270237,-0.113045302,944,0,-2,1.333333333,
