state,IM,record,ecu,Vult,Vbmax,ect,ecb,uindex,convergence
1.0,40.0,RSN126_GAZLI_GAZ000,-0.006007193878874531,63.404702566364236,150.04047406566556,-0.003015814821645199,-0.14405179381274957,8.0,0.0
1.0,40.0,RSN126_GAZLI_GAZ000,-0.0023990489626672983,519.8279413944932,150.04047406566556,-0.002312636965111172,-0.10751795901158702,775.0,FAILED
1.0,40.0,RSN126_GAZLI_GAZ000,-0.002918595330680521,158.34202083912365,150.04047406566556,-0.06183507406426979,-0.11144576476752578,944.0,FAILED
1.0,40.0,RSN126_GAZLI_GAZ000,-0.0043272134966474045,166.07828543744859,150.04047406566556,-0.0027701138355171085,-0.14233962891950452,947.0,0.0
1.0,40.0,RSN126_GAZLI_GAZ000,-0.002744203548955692,108.31388840473916,150.04047406566556,-0.09797618705540238,-0.11321622856464383,479.0,0.0
1.0,40.0,RSN126_GAZLI_GAZ000,-0.007189905233056798,194.75669730771327,150.04047406566556,-0.002121332305654418,-0.16124538643274064,951.0,0.0
1.0,40.0,RSN126_GAZLI_GAZ000,-0.016135772331523725,154.070783292881,153.0518624901399,-0.0028608651522875096,-0.03567196830390058,1110.0,FAILED
1.0,40.0,RSN126_GAZLI_GAZ000,-0.00699632087443943,225.7742048309198,150.04047406566556,-0.004255305517350612,-0.14097946798834476,950.0,0.0
1.0,40.0,RSN126_GAZLI_GAZ000,-0.009139684296985872,87.37011547122113,153.1793902641906,-0.0023405669072426665,-0.16248204684546436,464.0,0.0
1.0,40.0,RSN126_GAZLI_GAZ000,-0.008490735509590204,133.54271435864285,152.2533473042842,-0.09617477032566632,-0.15263499579090878,570.0,0.0
1.0,40.0,RSN126_GAZLI_GAZ000,-0.014523915893762939,106.59290576265428,153.0518624901399,-0.003795026655822536,-0.1221190393187331,477.0,FAILED
1.0,40.0,RSN126_GAZLI_GAZ000,-0.00967124150596671,201.72998631871909,152.89360400618602,-0.002927018096870015,-0.10399141260689086,1064.0,FAILED
1.0,40.0,RSN126_GAZLI_GAZ000,-0.0033419810185245018,144.25262282104538,150.04047406566556,-0.0031361419707132323,-0.1426375977515442,669.0,0.0
1.0,40.0,RSN126_GAZLI_GAZ000,-0.018291935676918968,207.63984601823432,153.0518624901399,-0.0043604776885651595,-0.1484513389561266,1112.0,0.0
1.0,40.0,RSN126_GAZLI_GAZ000,-0.0037815186159262893,140.81601987942452,150.04047406566556,-0.003003044170918412,-0.14263371171499817,576.0,0.0
1.0,40.0,RSN126_GAZLI_GAZ000,-0.006236466343590748,126.54680137972181,150.04047406566556,-0.14417590865467506,-0.12685097678017748,567.0,0.0
1.0,40.0,RSN126_GAZLI_GAZ000,-0.007821534232596478,326.8696039028966,150.39593260034468,-0.0031569299559131886,-0.14568247219124003,952.0,0.0
1.0,40.0,RSN126_GAZLI_GAZ000,-0.01039053477032406,287.2096701891248,153.0518624901399,-0.0030771542672522714,-0.16113942322848349,1107.0,0.0
1.0,40.0,RSN126_GAZLI_GAZ000,-0.0016178013373770903,175.7491359737879,143.2731060535822,-0.0015622985055754074,-0.09790233797453195,668.0,FAILED
1.0,40.0,RSN126_GAZLI_GAZ000,-0.0050404120613676455,172.96458520699383,150.04047406566556,-0.0028620260459837035,-0.1465091246896521,948.0,0.0
1.0,40.0,RSN126_GAZLI_GAZ000,-0.005176854847751484,116.51054083611515,150.04047406566556,-0.0028929520141907543,-0.1470396439664845,564.0,0.0
1.0,40.0,RSN126_GAZLI_GAZ000,-0.01239019966003252,244.73116586210438,153.0518624901399,-0.0033464691993050893,-0.15749032427550863,1108.0,FAILED
1.0,40.0,RSN126_GAZLI_GAZ000,-0.005553819978278284,252.99701322351538,150.04047406566556,-0.00278446224671,-0.1446678495239737,949.0,0.0
1.0,40.0,RSN126_GAZLI_GAZ000,-0.0039070517888529326,181.3389280899589,150.04047406566556,-0.002824099715603126,-0.14247923463695267,946.0,0.0
1.0,40.0,RSN126_GAZLI_GAZ000,-0.004601940341293299,220.04955391568137,150.04047406566556,-0.13548196877852445,-0.12159785355687519,947.0,FAILED
1.0,35.0,RSN126_GAZLI_GAZ000,-0.006007193878874531,63.404702566364236,152.66173151081694,-0.002587149585486525,-0.1348773951480549,9.0,0.0
1.0,35.0,RSN126_GAZLI_GAZ000,-0.0023990489626672983,519.8279413944932,146.68892053267533,-0.002365573399656928,-0.13295571804426237,947.0,0.0
1.0,35.0,RSN126_GAZLI_GAZ000,-0.002918595330680521,158.34202083912365,146.68892053267533,-0.0022662914624814083,-0.12019348860780055,948.0,FAILED
1.0,35.0,RSN126_GAZLI_GAZ000,-0.0043272134966474045,166.07828543744859,146.68892053267533,-0.002191879343068817,-0.13386942821569608,952.0,0.0
1.0,35.0,RSN126_GAZLI_GAZ000,-0.002744203548955692,108.31388840473916,146.68892053267533,-0.0022790131889511194,-0.11941666143573537,486.0,FAILED
1.0,35.0,RSN126_GAZLI_GAZ000,-0.007189905233056798,194.75669730771327,152.83562213744202,-0.0028337415653181194,-0.135150519054052,1102.0,0.0
